DateTime,Entries,UniqueIPs
1581260170,94,94
1581264973,91,91
1581266922,90,90
1581268806,90,90
1581270726,90,90
1581272666,90,90
1581274581,91,91
1581276496,90,90
1581280336,87,87
1581282538,90,90
1581284414,92,92
1581286335,93,93
1581288264,92,92
1581290175,95,95
1581292115,97,97
1581294010,97,97
1581295930,96,96
1581297866,92,92
1581299784,91,91
1581301692,90,90
1581304578,89,89
1581306509,90,90
1581310342,89,89
1581312270,88,88
1581316094,87,87
1581319009,88,88
1581320925,86,86
1581322829,84,84
1581326666,84,84
1581330512,86,86
1581332562,85,85
1581334585,86,86
1581336503,84,84
1581338413,86,86
1581340441,85,85
1581342256,84,84
1581344172,84,84
1581346108,83,83
1581349929,82,82
1581355689,79,79
1581357743,79,79
1581359790,78,78
1581361711,80,80
1581363616,81,81
1581365559,84,84
1581367472,88,88
1581369376,86,86
1581371308,86,86
1581373210,86,86
1581375168,86,86
1581377065,85,85
1581378968,83,83
1581380889,83,83
1581382925,85,85
1581384731,85,85
1581386684,84,84
1581392416,84,84
1581394356,85,85
1581398171,86,86
1581402017,88,88
1581403938,87,87
1581407777,88,88
1581409687,89,89
1581411692,89,89
1581415476,90,90
1581417372,91,91
1581419313,93,93
1581421211,94,94
1581423136,97,97
1581425067,94,94
1581427229,94,94
1581429130,95,95
1581431052,96,96
1581434890,97,97
1581438748,98,98
1581442570,97,97
1581446415,98,98
1581450494,98,98
1581452428,92,92
1581454327,88,88
1581456248,87,87
1581458186,87,87
1581460091,87,87
1581462130,87,87
1581465866,89,89
1581471614,88,88
1581479299,87,87
1581481223,88,88
1581485049,87,87
1581486983,89,89
1581488888,86,86
1581493719,86,86
1581495623,82,82
1581499460,81,81
1581501381,79,79
1581503287,77,77
1581505364,77,77
1581507385,77,77
1581509307,79,79
1581511213,79,79
1581513162,80,80
1581515063,79,79
1581516973,77,77
1581518906,77,77
1581520807,76,76
1581522742,77,77
1581524651,78,78
1581530450,78,78
1581532353,78,78
1581534499,79,79
1581536412,78,78
1581538366,79,79
1581540250,77,77
1581542216,76,76
1581544126,77,77
1581546009,77,77
1581547929,79,79
1581549873,81,81
1581551769,80,80
1581556570,81,81
1581560407,82,82
1581562344,83,83
1581564276,84,84
1581566602,83,83
1581570534,81,81
1581572440,80,80
1581574667,82,82
1581576493,83,83
1581578484,82,82
1581580329,82,82
1581582288,81,81
1581588979,82,82
1581590893,81,81
1581592818,79,79
1581594762,80,80
1581598573,81,81
1581600490,84,84
1581603404,81,81
1581605331,80,80
1581607214,80,80
1581609128,79,79
1581611059,78,78
1581612971,78,78
1581617079,78,78
1581618973,77,77
1581620896,78,78
1581622813,76,76
1581624734,77,77
1581626669,77,77
1581628580,78,78
1581630492,78,78
1581634344,76,76
1581636266,75,75
1581638170,76,76
1581640087,78,78
1581642991,78,78
1581644892,80,80
1581646806,79,79
1581648751,80,80
1581650652,80,80
1581652572,81,81
1581656452,82,82
1581658357,81,81
1581660275,80,80
1581662183,81,81
1581664096,82,82
1581666010,81,81
1581667929,81,81
1581671795,83,83
1581673692,84,84
1581675609,82,82
1581679479,80,80
1581681371,81,81
1581686175,81,81
1581688093,82,82
1581690048,83,83
1581691953,83,83
1581693852,83,83
1581695770,84,84
1581697690,82,82
1581700649,82,82
1581702493,81,81
1581704422,81,81
1581706333,80,80
1581708251,79,79
1581712116,78,78
1581715949,79,79
1581718119,81,81
1581722195,80,80
1581724090,73,73
1581726021,72,72
1581727946,74,74
1581730118,73,73
1581733226,72,72
1581735127,73,73
1581737065,71,71
1581738972,69,69
1581744011,69,69
1581753897,68,68
1581755788,67,67
1581757702,67,67
1581759864,69,69
1581761793,67,67
1581763718,68,68
1581765611,68,68
1581767545,70,70
1581769465,72,72
1581771375,71,71
1581773293,71,71
1581776174,71,71
1581778106,72,72
1581780009,72,72
1581781937,74,74
1581783864,79,79
1581785774,80,80
1581787688,81,81
1581790594,79,79
1581794408,77,77
1581796331,77,77
1581798265,79,79
1581800171,78,78
1581802092,79,79
1581804134,81,81
1581805945,80,80
1581807937,80,80
1581809808,81,81
1581811706,82,82
1581815548,81,81
1581819372,80,80
1581821308,80,80
1581825152,80,80
1581827077,80,80
1581828994,80,80
1581830890,79,79
1581833804,80,80
1581835732,81,81
1581837636,81,81
1581839530,82,82
1581843383,81,81
1581845291,77,77
1581847296,79,79
1581849153,78,78
1581851317,79,79
1581853214,79,79
1581855138,78,78
1581857095,77,77
1581860895,75,75
1581862824,77,77
1581868591,81,81
1581870501,80,80
1581873392,78,78
1581875603,79,79
1581877466,78,78
1581883336,79,79
1581887123,79,79
1581888971,77,77
1581890916,77,77
1581892815,77,77
1581896892,77,77
1581898822,76,76
1581900729,76,76
1581902648,77,77
1581904581,79,79
1581906487,80,80
1581908464,82,82
1581910346,83,83
1581912292,82,82
1581914169,80,80
1581916105,80,80
1581918011,79,79
1581919931,80,80
1581921864,79,79
1581923791,79,79
1581925719,77,77
1581927624,78,78
1581929529,79,79
1581931451,80,80
1581933400,78,78
1581938192,80,80
1581940093,79,79
1581942025,79,79
1581945852,79,79
1581947785,78,78
1581949690,76,76
1581951744,75,75
1581953559,74,74
1581955490,72,72
1581957400,74,74
1581959300,76,76
1581961215,77,77
1581963178,79,79
1581965054,82,82
1581966979,82,82
1581968931,83,83
1581970830,84,84
1581972729,85,85
1581974652,87,87
1581976990,88,88
1581978974,90,90
1581980920,93,93
1581982811,93,93
1581984760,96,96
1581986650,96,96
1581990516,93,93
1581992411,92,92
1581994330,93,93
1581996277,88,88
1581998175,87,87
1582000096,88,88
1582002111,87,87
1582003938,88,88
1582005886,88,88
1582007793,89,89
1582009698,87,87
1582011611,86,86
1582015455,85,85
1582019319,86,86
1582023128,84,84
1582025094,83,83
1582027001,83,83
1582029133,82,82
1582037057,83,83
1582039013,85,85
1582040908,84,84
1582042809,83,83
1582044992,84,84
1582046889,83,83
1582049780,79,79
1582051716,77,77
1582053615,77,77
1582055531,76,76
1582057467,74,74
1582059370,74,74
1582061306,74,74
1582064430,72,72
1582066366,73,73
1582068266,72,72
1582070170,73,73
1582072147,70,70
1582074128,69,69
1582075952,70,70
1582077894,69,69
1582079787,74,74
1582081715,72,72
1582083625,73,73
1582085552,74,74
1582087451,73,73
1582091309,75,75
1582093210,78,78
1582098971,77,77
1582103803,78,78
1582105696,77,77
1582107642,74,74
1582109546,72,72
1582111467,72,72
1582113392,70,70
1582115296,67,67
1582117370,68,68
1582119370,67,67
1582121336,70,70
1582123220,70,70
1582125136,71,71
1582127073,70,70
1582128973,73,73
1582132834,73,73
1582134731,72,72
1582138588,73,73
1582140490,73,73
1582142585,74,74
1582144569,76,76
1582146521,75,75
1582148416,74,74
1582150585,72,72
1582152520,74,74
1582154421,75,75
1582156331,74,74
1582158270,75,75
1582160170,77,77
1582162153,77,77
1582164118,76,76
1582165955,76,76
1582167946,78,78
1582171714,78,78
1582173654,77,77
1582175536,78,78
1582177471,79,79
1582179376,80,80
1582181297,81,81
1582188986,82,82
1582192992,81,81
1582194970,82,82
1582198831,81,81
1582202671,85,85
1582204624,84,84
1582206494,86,86
1582208427,85,85
1582210327,86,86
1582212249,90,90
1582214183,91,91
1582218091,92,92
1582219950,91,91
1582222122,83,83
1582225951,82,82
1582227850,84,84
1582229771,83,83
1582231708,84,84
1582233612,86,86
1582235543,85,85
1582237464,87,87
1582239366,88,88
1582241287,85,85
1582244431,85,85
1582246332,84,84
1582250172,83,83
1582252086,82,82
1582254086,80,80
1582255933,79,79
1582258113,78,78
1582260029,79,79
1582261951,80,80
1582265803,78,78
1582267714,79,79
1582271529,80,80
1582275369,81,81
1582279332,85,85
1582281148,84,84
1582284975,87,87
1582287159,88,88
1582289054,86,86
1582290978,84,84
1582294810,83,83
1582296726,84,84
1582298667,81,81
1582300567,80,80
1582302489,78,78
1582304458,78,78
1582306330,80,80
1582308509,80,80
1582310411,78,78
1582314250,74,74
1582316172,75,75
1582318119,75,75
1582320986,72,72
1582322903,71,71
1582324837,72,72
1582326749,72,72
1582332506,73,73
1582334409,74,74
1582336328,75,75
1582338266,75,75
1582340170,75,75
1582342092,76,76
1582345217,78,78
1582349067,79,79
1582350994,81,81
1582352910,78,78
1582356730,79,79
1582358668,80,80
1582366367,80,80
1582368264,79,79
1582370183,80,80
1582372094,79,79
1582374048,81,81
1582375933,82,82
1582379807,83,83
1582381696,84,84
1582384613,84,84
1582386495,84,84
1582388423,85,85
1582390345,93,93
1582392253,91,91
1582394190,89,89
1582396114,89,89
1582398125,87,87
1582399950,88,88
1582402112,89,89
